Serial Number,ID,Price,Title,Condition,Available,Sold
2,225591993433,US $114.99/ea, DELL Latitude 3189 Laptop Intel 4GB RAM 128GB SSD Touchscreen Webcam HDMI - Good,Used,42 available,343 sold
4,335091694224,US $357.99," Dell Gaming Laptop 15.6"" 64GB RAM 2TB SSD Intel Core i7 3.90GHz Windows 10 Pro",Very Good - Refurbished,2 available,17 sold
7,305120534978,US $499.99," Lenovo Ideapad Gaming 3 15.6"" FHD Laptop R5-7535HS RTX 2050 8GB RAM 512GB SSD",New,Limited quantity available,"1,784 sold"
8,254654754368,US $208.99," Dell Latitude 5490 Laptop Computer 14"" Core i5 8GB Ram 256GB SSD Windows 11",Used,Last One,721 sold
1,,,,,,
9,186155173059,US $299.95,"  NEW Microsoft Surface Laptop Go 12.4""  i5-1035G1 16GB 256GB 21O-00001",Open box,6 available,32 sold
5,265741526047,US $224.99/ea," Dell Latitude 5580 Laptop Computer 15.6"" Core i5 16GB Ram 512GB SSD Windows 10",Very Good - Refurbished,More than 10 available,223 sold
10,305071515193,US $669.99," MSI Thin GF63 15.6"" FHD 144Hz Gaming Laptop i5-12450H 8GB RAM 512GB SSD RTX 4050",New,Limited quantity available,213 sold
3,305073734674,US $139.00/ea," Dell Laptop Computer PC Intel Quad Core , 11.6"", 4GB RAM, 128GB SSD, Windows 11",Very Good - Refurbished,More than 10 available,202 sold
12,283360547245,US $104.91/ea," Dell Laptop 13.3"" Latitude 3340 Windows 10 PC Intel 8GB Ram 128GB SSD HDMI",Used,3 available,332 sold
11,335016592887,US $179.99/ea, Toshiba X40 HD 1080P Touchscreen Win 11 PRO i5 7th Gen Gaming Laptop PC Computer,Used,More than 10 available,266 sold
19,126112806945,US $899.99," Lenovo Legion 5 15.6"" Gaming Laptop AMD R7 7735HS RTX 4060 16GB RAM 512GB SSD",New,Limited quantity available,"1,939 sold"
13,145187220450,US $419.00," 2023 HP Laptop Computer 15.6"" HD Notebook Intel Pentium 16GB RAM 1TB SSD Win 11",New,5 available,363 sold
15,265748790952,US $169.99," Dell Laptop Computer 3400 14"" Intel Core i3 8GB Ram 1TB HDD Windows 11 WiFi",Very Good - Refurbished,Last One,325 sold
14,126155940127,US $99.99/ea, Dell laptop 11 Latitude 3190 intel N5000 4GB RAM 64GB SSD Windows 10 Wifi WebCam,Used,2 available,42 sold
17,284243172623,US $218.91," Dell Latitude 7480 14"" Intel Core i5 6th Gen 8GB RAM 256GB SSD Windows 10 Pro",Very Good - Refurbished,Last One,118 sold
16,254639853037,US $54.99/ea," Acer Chromebook 11.6"" Laptop Intel 4GB RAM 32GB SSD WIFI Webcam",Good - Refurbished,10 available,"1,827 sold"
20,394542173497,US $25.00/ea, ASUS Chromebook C202SA 11.6 inch Laptop,Used,More than 10 available,59 sold
21,126096108227,US $799.99," MSI Sword 15 15.6"" FHD 144Hz Gaming Laptop i7-12650H 16GB RAM 1TB SSD RTX 3060",New,Limited quantity available,112 sold
23,125542036174,US $329.00, Dell Latitude Gaming Laptop Intel Core i7 32GB RAM 1TB SSD Windows 11 HDMI WiFi,Used,Last One,23 sold
27,256219061604,US $59.99," Acer C738T Chromebook 11.6"" 4GB 32GB SSD 2-in-1 TouchScreen 360° Hinge Excellent",Used,2 available,125 sold
29,276157122965,US $219.00/ea," Dell Latitude 7490 Laptop - 1.9 GHz i7-8650U 16GB 256GB SSD Touchscreen - 14.1""",Used,More than 10 available,14 sold
30,166294430110,US $189.99, CHUWI 14.1in Herobook Pro Intel N4000 Laptop Computer 8GB 256GB SSD Windows 11 H,New,More than 10 available,127 sold
26,334846153118,US $399.99," Dell Latitude 14"" Gaming Laptop PC Intel Core i7 4.2GHz 64GB RAM 2TB SSD Win 11",Very Good - Refurbished,2 available,279 sold
28,145270000295,US $389.00/ea," 2023 HP Laptop Computer 15.6"" HD Notebook Intel Processor 16GB 128G SSD Win 11",New,8 available,46 sold
32,166421936947,US $699.00, EXCELLENT 2021 Dell Business Laptop i7 11th Gen 15.6 15 inch Latitude 5520 5540,Excellent - Refurbished,2 available,18 sold
31,354929115255,US $149.99/ea," HP Laptop X360 G1 Touchscreen 2-in-1 11.6"" 4GB Ram 128GB SSD HDMI Windows 10",Used,5 available,75 sold
33,166294430115,US $242.99," CHUWI CoreBook X 14"" Laptop Win 10 Intel Core i5 Notebook 8GB RAM 512GB SSD PC",New,4 available,12 sold
34,165647944655,US $72.99/ea," Lenovo Yoga 11"" Windows 10 Touchscreen Laptop Tablet 2 in 1 4GB / 8GB 128GB SSD",Used,10 available,283 sold
37,176020028662,US $399.00," Dell Inspiron 15 3535 15.6"" FHD Touch Laptop  Ryzen 5 7530U 8GB RAM  512GB SSD",New,Last One,1 sold
35,304816972859,US $749.99, Lenovo Ideapad Gaming 3 15.6  Gaming Laptop FHD 120Hz AMD Ryzen 7-7735HS 16GB RA,New,Limited quantity available,"3,104 sold"
39,115672158079,US $199.99, Dell Latitude 7480 Business Class Laptop i5 16GB 512GB SSD Win10 Pro Grade A,Used,28 available,355 sold
41,166268940788,US $249.00, LENOVO THINKPAD 14” E14 10th Gen i5 1.6GHz 16GB RAM 256GB SSD Windows 11 Pro,Used,2 available,40 sold
43,325727617160,US $119.99/ea, HP Pro C640 Chromebook Touchscreen Quad i5-10310U 1.7GHz 64GB SSD 8GB RAM,Used,21 available,87 sold
40,166430648980,US $149.99/ea, CHUWI UBook Pro 12.3inch WIndows Tablet PC intel Core m3 8g+256g 3.4Ghz Laptop,New,2 available,2 sold
44,235282287878,US $139.00, Dell Latitude Light Gaming Business Laptop 8GB RAM 480GB SSD Win10 Pro Webcam,Used,5 available,1 sold
46,145420365754,US $116.99," Dell Latitude 3410 14"" Laptop i3-10110U 2.10Ghz 8GB RAM 128GB SSD Windows 10 Pro",Used,2 available,7 sold
48,115924967019,US $429.00," 2023 HP Laptop Computer 14"" FHD Notebook Quad-core Intel 16GB RAM 1TB SSD Win 11",New,2 available,28 sold
51,166409219600,US $149.99," Lenovo ThinkPad X1 Touchscreen Carbon 14"" i7 4th Gen 8GB 256GB SSD Win 10 Pro",Used,9 available,6 sold
55,394638484904,US $195.02," 14"" 15.6"" 12th Gen Intel Core i7-1260P i9-10850 MX450 Laptop Notebook 32GB 2TB",New,4 available,64 sold
56,404591023470,US $259.99," HP EliteBook x360 830 G6 13.3"" Laptop Core i7-8565U @ 1.80Ghz 16GB RAM 512GB SSD",Used,12 available,23 sold
50,355171388810,US $89.99/ea, Dell laptop 11 Latitude 3190 intel N5000 4GB RAM 128 GB SSD Windows 10 PC WebCam,Used,More than 10 available,12 sold
54,115603286837,US $69.99," HP Chromebook 11 G4 11.6"" Intel 2.16 GHz 4GB RAM 16GB eMMC Bluetooth HDMI Webcam",Good - Refurbished,More than 10 available,"2,561 sold"
57,285551952075,US $179.00," Lenovo ThinkPad T480 14"" Core i5-8350U 1.70GHZ 8GB RAM 256GB SSD Windows 11 Pro",Used,4 available,5 sold
59,115897328585,US $599.00," 2023 Dell Laptop Inspiron 15.6"" Touchscreen Intel i5-1135G7 16GB 1TB SSD Win 11",New,3 available,46 sold
58,334713666566,US $324.99," Dell Latitude 15.6"" Laptop Intel Core i5 64GB RAM 2TB SSD Wi-Fi Windows 10 Pro",Very Good - Refurbished,2 available,203 sold
60,334811146017,US $324.99," Dell Latitude 14"" Gaming Laptop - Intel Quad Core i5 64GB RAM 2TB SSD Win11 Pro",Very Good - Refurbished,Last One,185 sold
62,334730377021,US $399.99, Dell Latitude Laptop Intel Core i7 4.2GHz Light Gaming Business 32GB RAM 2TB SSD,Very Good - Refurbished,2 available,117 sold
61,304949895309,US $899.99," Lenovo LOQ 15 15.6"" Gaming Laptop FHD AMD R7-7840HS 16GB RAM 512GB SSD RTX 4060",New,Limited quantity available,18 sold
65,255166530163,US $53.99," Acer Chromebook Laptop 11 N7 C731 11.6"" 16GB N3060 Chrome OS - Black - Good",Good - Refurbished,4 available,774 sold
64,265781146667,US $227.73," Dell Laptop Computer Latitude 14"" Core i5 16GB Ram 512GB SSD Windows 11 Pro",Very Good - Refurbished,3 available,362 sold
66,125940231418,US $429.00," 2023 HP 15.6"" HD Touchscreen Laptop i3-1115G4, up to 4.1GHz, 32GB RAM & 1TB SSD",New,3 available,134 sold
67,234734635263,US $399.00," Dell Inspiron 14 5425 Ryzen 5 5625U 16GB 512GB SSD 14"" (1920 x 1200) TOUCHSCREEN",Certified - Refurbished,Limited quantity available,"2,920 sold"
70,235198584398,US $429.00," Microsoft 15"" Surface Laptop 4 Touchscreen AMD Ryzen 7-4980U 8GB RAM 256GB SSD",Certified - Refurbished,Limited quantity available,191 sold
71,115111959307,US $598.95," MSI GF63 Thin 15.6"" FHD Gaming Laptop Intel i5-11400H RTX3050 512GB SSD 16GB RAM",New,9 available,98 sold
68,126031839415,US $399.00," 2023 Acer Laptop Aspire 15.6"" FHD Notebook Intel Celeron 20GB RAM 1TB SSD Win 11",New,5 available,52 sold
63,353260769284,US $54.99," HP Chromebook X360 11.6 Multi-Touch 2-in-1 32GB  4GB, Bluetooth, Webcam - Good",Good - Refurbished,More than 10 available,"2,900 sold"
72,254841635829,US $189.99/ea," Dell Latitude 7280 Laptop 12.5"" Core i5 8GB Ram 240GB SSD Windows 10 Pro Webcam",Very Good - Refurbished,More than 10 available,316 sold
69,175724323362,US $199.99/ea," ASUS VivoBook Go 14 Flip Thin and Light 2-in-1 Laptop, 14 inch HD Touch",Open box,5 available,34 sold
73,325730856564,US $469.00, Microsoft Surface Laptop 4 Intel i5-1135G7 8GB 512GB SSD 13.5 In  Choose color,Certified - Refurbished,Limited quantity available,"1,066 sold"
75,254646198216,US $119.99/ea," Lenovo Yoga 11e Touchscreen 2-in-1 Laptop 11.6"" Windows 10 4GB Ram 256GB SSD",Very Good - Refurbished,More than 10 available,732 sold
74,175956283997,US $89.99," Dell Latitude 3340 Laptop Computer 13.3"" INTEL 4GB Ram 128GB Windows 11 HDMI",Used,7 available,35 sold
76,235013533524,US $109.99/ea, Toshiba Z40 Windows 11 Gaming Laptop PC Computer w/ SSD Webcam WiFi Super Light,Used,More than 10 available,142 sold
